Project,Release,File,Normalized_File,Size_LOC,NR,NAuth,NFix,Age_in_Days,Weighted_Age,LOC_Added,Max_LOC_Added,Average_LOC_Added,LOC_Deleted,Max_LOC_Deleted,Average_LOC_Deleted,Churn,Max_Churn,Average_Churn,Change_Set_Size,Max_Change_Set_Size,Average_Change_Set_Size,Average_ND,Average_Entropy,NSmells,Buggy
AVRO,1.2.0,src/java/org/apache/avro/io/ParsingEncoder.java,org/apache/avro/io/ParsingEncoder.java,60,3,1,2,43,3010,70,52,23,0,0,0,70,52,23,460,294,153,24.3333,5.362,0,No
AVRO,1.2.0,src/java/org/apache/avro/io/JsonDecoder.java,org/apache/avro/io/JsonDecoder.java,361,3,1,3,26,11258,416,397,138,17,9,5,433,397,144,402,294,134,20.3333,5.0514,0,Yes
AVRO,1.2.0,src/java/org/apache/avro/io/BinaryEncoder.java,org/apache/avro/io/BinaryEncoder.java,213,3,1,3,34,9758,269,266,89,18,16,6,287,266,95,475,229,158,23.6667,5.5598,0,No
AVRO,1.2.0,src/java/org/apache/avro/io/BlockingBinaryEncoder.java,org/apache/avro/io/BlockingBinaryEncoder.java,540,4,1,4,74,47508,635,622,158,7,5,1,642,622,160,563,216,140,23.25,5.1494,0,No
AVRO,1.2.0,src/java/org/apache/avro/io/ParsingDecoder.java,org/apache/avro/io/ParsingDecoder.java,66,2,1,2,5,375,75,74,37,0,0,0,75,74,37,360,294,180,24.5,5.2638,0,No
AVRO,1.2.0,src/java/org/apache/avro/io/parsing/Parser.java,org/apache/avro/io/parsing/Parser.java,151,3,1,3,64,10880,168,144,56,2,2,0,170,144,56,478,294,159,24.6667,5.4391,0,Yes
AVRO,1.2.0,src/java/org/apache/avro/io/parsing/SkipParser.java,org/apache/avro/io/parsing/SkipParser.java,86,2,1,2,5,495,97,94,48,2,2,1,99,94,49,360,294,180,24.5,5.2638,0,Yes
AVRO,1.2.0,src/java/org/apache/avro/io/parsing/ValidatingGrammarGenerator.java,org/apache/avro/io/parsing/ValidatingGrammarGenerator.java,127,3,1,3,26,3666,140,138,46,1,1,0,141,138,47,402,294,134,20.3333,5.0514,0,Yes
AVRO,1.2.0,src/java/org/apache/avro/io/parsing/Symbol.java,org/apache/avro/io/parsing/Symbol.java,334,3,1,3,64,24576,383,382,127,1,1,0,384,382,128,478,294,159,24.6667,5.4391,0,Yes
AVRO,1.2.0,src/java/org/apache/avro/io/parsing/JsonGrammarGenerator.java,org/apache/avro/io/parsing/JsonGrammarGenerator.java,95,3,1,3,64,6784,104,102,34,2,2,0,106,102,35,478,294,159,24.6667,5.4391,0,Yes
